account_id,mes_ano,transfer_in,transfer_out,pix_in,pix_out,saldo_mes,saldo_acumulado
2569200459575096,2020-01,2658.94,888.4,3963.21,937.9,4795.85,4795.85
2569200459575096,2020-02,250.49,3450.36,2260.1,1484.55,-2424.32,2371.53
2569200459575096,2020-03,2221.55,0,0,3205.17,-983.62,1387.91
2569200459575096,2020-04,2596.47,540.4,1896.27,0,3952.34,5340.25
2569200459575096,2020-05,1825.52,1617.57,0,811.98,-604.03,4736.22
2569200459575096,2020-06,1059.96,0,1262.72,3059.74,-737.06,3999.16
2569200459575096,2020-07,2568.21,6482.14,434.98,1580.45,-5059.4,-1060.24
2569200459575096,2020-08,80.6,877.32,0,1455.95,-2252.67,-3312.91
2569200459575096,2020-09,440.55,2311.77,1961.12,1484.37,-1394.47,-4707.38
2569200459575096,2020-11,253.42,3973.42,0,1631.82,-5351.82,-10059.2
2569200459575096,2020-12,4469.54,1251.81,3411.81,1927.26,4702.28,-5356.92
2572645138169593,2020-01,1498.34,1433.98,1816.04,33.33,1847.07,1847.07
2572645138169593,2020-02,0,1032.8,3027.06,0,1994.26,3841.33
2572645138169593,2020-03,0,4196.13,1491.24,2406.03,-5110.92,-1269.59
2572645138169593,2020-04,0,394.04,0,1162.48,-1556.52,-2826.11
2572645138169593,2020-05,2426.07,1049.01,0,3295.23,-1918.17,-4744.28
2572645138169593,2020-06,0,2282.97,0,0,-2282.97,-7027.25
2572645138169593,2020-07,1701.36,0,1350.48,959.94,2091.9,-4935.35
2572645138169593,2020-08,311.1,969.55,483.22,1983.47,-2158.7,-7094.05
2572645138169593,2020-10,2909.88,1909.49,2202.83,0,3203.22,-3890.83
2572645138169593,2020-11,122.07,0,0,3244.96,-3122.89,-7013.72
2572645138169593,2020-12,3918.27,1094.32,1607.26,2373.79,2057.42,-4956.3
2969674447809961,2020-01,1566.85,1382.57,7446.77,2186.91,5444.14,5444.14
